experiment_id,cell_id,seed,game,channel,spec,pair,framing,n_rows,n_rounds,coop_mean,price_mean,price_last,refusal_rate,api_error_rate,msgs,rule_frac,full_rule_frac,trigger_frac,conseq_frac,target_frac,intention_frac,msg_len,any_rule,lockin,K,capacity,has_channel,free_text
A1,A1/L0_none/canonical/same_origin_cn,0,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,16,8,0.625,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,1,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,16,8,0.625,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,2,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,16,8,0.875,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,100,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.125,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,101,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,24,12,0.7916666666666666,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,102,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.35,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,103,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,2,1,1.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,104,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.3,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,105,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.525,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,106,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,20,10,0.25,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,107,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,6,3,1.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,108,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,34,17,0.2647058823529412,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,109,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.375,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,110,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.05,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,111,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.175,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,112,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.1,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,113,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.725,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,114,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,14,7,0.21428571428571427,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,115,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,14,7,0.2857142857142857,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,116,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.225,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,117,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,24,12,0.5833333333333334,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,118,ipd,L0_none,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.7,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/canonical/same_origin_cn,119,ipd,L0_none,canonical,deepseek-v3+qwen-72b,neutral,10,5,0.6,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,0,ipd,L0_none,novel,qwen-72b+deepseek-v3,neutral,16,8,0.6875,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,1,ipd,L0_none,novel,deepseek-v3+qwen-72b,neutral,16,8,0.8125,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,2,ipd,L0_none,novel,qwen-72b+deepseek-v3,neutral,16,8,0.875,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,100,ipd,L0_none,novel,qwen-72b+deepseek-v3,neutral,40,20,0.45,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,101,ipd,L0_none,novel,deepseek-v3+qwen-72b,neutral,24,12,0.625,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,102,ipd,L0_none,novel,qwen-72b+deepseek-v3,neutral,40,20,0.15,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,103,ipd,L0_none,novel,deepseek-v3+qwen-72b,neutral,2,1,1.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,104,ipd,L0_none,novel,qwen-72b+deepseek-v3,neutral,40,20,0.325,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,105,ipd,L0_none,novel,deepseek-v3+qwen-72b,neutral,40,20,0.175,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,none,0,0
A1,A1/L0_none/novel/same_origin_cn,106,ipd,L0_none,novel,qwen-72b+deepseek-v3,neutral,20,10,0.9,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,none,0,0
