ratio,pi,t,tpr,fpr,loss,never,always,use,degenerate
0.1,0.05,0.95,0.8114143920595533,0.05917159763313609,0.015050582172170262,0.05,0.095,True,False
0.1,0.1,0.95,0.8114143920595533,0.05917159763313609,0.024184004581026916,0.1,0.09000000000000001,True,False
0.1,0.25,0.85,0.8734491315136477,0.17307692307692307,0.044618486352357316,0.25,0.07500000000000001,True,False
0.1,0.5,0.1,1.0,0.9985207100591716,0.049926035502958585,0.5,0.05,False,True
0.5,0.05,0.95,0.8114143920595533,0.05917159763313609,0.03753578927276198,0.05,0.475,True,False
0.5,0.1,0.95,0.8114143920595533,0.05917159763313609,0.045485779728955913,0.1,0.45,True,False
0.5,0.25,0.95,0.8114143920595533,0.05917159763313609,0.0693357510975377,0.25,0.375,True,False
0.5,0.5,0.9,0.8684863523573201,0.16272189349112426,0.10643729719412102,0.5,0.25,True,False
1.0,0.05,inf,0.0,0.0,0.05,0.05,0.95,False,True
1.0,0.1,0.95,0.8114143920595533,0.05917159763313609,0.07211299866386715,0.1,0.9,True,False
1.0,0.25,0.95,0.8114143920595533,0.05917159763313609,0.09152510020996374,0.25,0.75,True,False
1.0,0.5,0.95,0.8114143920595533,0.05917159763313609,0.12387860278679137,0.5,0.5,True,False
2.0,0.05,inf,0.0,0.0,0.05,0.05,1.9,False,True
2.0,0.1,inf,0.0,0.0,0.1,0.1,1.8,False,True
2.0,0.25,0.95,0.8114143920595533,0.05917159763313609,0.13590379843481581,0.25,1.5,True,False
2.0,0.5,0.95,0.8114143920595533,0.05917159763313609,0.15346440160335942,0.5,1.0,True,False
5.0,0.05,inf,0.0,0.0,0.05,0.05,4.75,False,True
5.0,0.1,inf,0.0,0.0,0.1,0.1,4.5,False,True
5.0,0.25,inf,0.0,0.0,0.25,0.25,3.75,False,True
5.0,0.5,0.95,0.8114143920595533,0.05917159763313609,0.24222179805306354,0.5,2.5,True,False
10.0,0.05,inf,0.0,0.0,0.05,0.05,9.5,False,True
10.0,0.1,inf,0.0,0.0,0.1,0.1,9.0,False,True
10.0,0.25,inf,0.0,0.0,0.25,0.25,7.5,False,True
10.0,0.5,0.95,0.8114143920595533,0.05917159763313609,0.39015079213590376,0.5,5.0,True,False
