cell_id,seed,arm,coop,msgs,proposal,intention_only,msg_len,api_err,lockin
P1/free/self_local_14,300,free,1.0,40,40,0,91.95,0.0,1.0
P1/free/self_local_14,301,free,1.0,16,16,0,78.1875,0.0,1.0
P1/free/self_local_14,302,free,1.0,34,34,0,78.32352941176471,0.0,1.0
P1/free/self_local_14,303,free,1.0,8,8,0,80.0,0.0,1.0
P1/free/self_local_14,304,free,0.6,40,40,0,104.75,0.0,0.0
P1/free/self_local_14,305,free,0.9666666666666667,30,30,0,101.8,0.0,1.0
P1/free/self_local_14,306,free,1.0,38,38,0,95.47368421052632,0.0,1.0
P1/free/self_local_14,307,free,0.725,40,40,0,98.775,0.0,0.0
P1/free/self_local_14,308,free,1.0,40,40,0,94.675,0.0,1.0
P1/free/self_local_14,309,free,1.0,22,22,0,87.13636363636364,0.0,1.0
P1/free/self_local_14,310,free,0.975,40,40,0,104.25,0.0,1.0
P1/free/self_local_14,311,free,1.0,10,10,0,92.0,0.0,1.0
P1/free/self_local_14,312,free,0.3,10,10,0,115.1,0.0,0.0
P1/free/self_local_14,313,free,0.425,40,40,0,114.9,0.0,0.0
P1/free/self_local_14,314,free,1.0,40,40,0,75.75,0.0,1.0
P1/free/self_local_14,315,free,1.0,40,40,0,94.4,0.0,1.0
P1/free/self_local_14,316,free,1.0,40,40,0,89.75,0.0,1.0
P1/free/self_local_14,317,free,0.9,40,40,0,105.075,0.0,1.0
P1/free/self_local_14,318,free,1.0,28,28,0,105.10714285714286,0.0,1.0
P1/free/self_local_14,319,free,1.0,40,40,0,95.3,0.0,1.0
P1/free/self_local_14,320,free,1.0,40,40,0,118.775,0.0,1.0
P1/free/self_local_14,321,free,1.0,12,12,0,86.66666666666667,0.0,1.0
P1/free/self_local_14,322,free,1.0,12,12,0,90.5,0.0,1.0
P1/free/self_local_14,323,free,1.0,40,40,0,94.5,0.0,1.0
P1/free/self_local_14,324,free,1.0,40,40,0,90.675,0.0,1.0
P1/free/self_local_14,325,free,1.0,40,40,0,108.625,0.0,1.0
P1/free/self_local_14,326,free,1.0,40,40,0,92.025,0.0,1.0
P1/free/self_local_14,327,free,1.0,40,40,0,102.925,0.0,1.0
P1/free/self_local_14,328,free,1.0,22,22,0,79.9090909090909,0.0,1.0
P1/free/self_local_14,329,free,1.0,40,40,0,98.6,0.0,1.0
P1/intention/self_local_14,300,intention,0.075,40,0,40,14.3,0.0,0.0
P1/intention/self_local_14,301,intention,1.0,16,0,16,17.0,0.0,1.0
P1/intention/self_local_14,302,intention,0.0,34,0,34,14.0,0.0,0.0
P1/intention/self_local_14,303,intention,0.375,8,0,8,15.875,0.0,0.0
P1/intention/self_local_14,304,intention,1.0,40,0,40,17.0,0.0,1.0
P1/intention/self_local_14,305,intention,0.6333333333333333,30,0,30,15.9,0.0,0.0
P1/intention/self_local_14,306,intention,0.5,38,0,38,15.894736842105264,0.0,0.0
P1/intention/self_local_14,307,intention,0.55,40,0,40,16.1,0.0,0.0
P1/intention/self_local_14,308,intention,0.025,40,0,40,14.15,0.0,0.0
