cell_id,seed,expressiveness,throughput,observability,C,api_err,lockin
P3/free/every/observed/self_local_14,700,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,701,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,702,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,703,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,704,free,every,observed,0.35,0.0,0.0
P3/free/every/observed/self_local_14,705,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,706,free,every,observed,0.75,0.0,0.0
P3/free/every/observed/self_local_14,707,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,708,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,709,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,710,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,711,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,712,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,713,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,714,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,715,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,716,free,every,observed,0.8,0.0,0.0
P3/free/every/observed/self_local_14,717,free,every,observed,0.6875,0.0,0.0
P3/free/every/observed/self_local_14,718,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,719,free,every,observed,0.95,0.0,1.0
P3/free/every/observed/self_local_14,720,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,721,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,722,free,every,observed,1.0,0.0,1.0
P3/free/every/observed/self_local_14,723,free,every,observed,1.0,0.0,1.0
P3/free/every/private/self_local_14,700,free,every,private,1.0,0.0,1.0
P3/free/every/private/self_local_14,701,free,every,private,1.0,0.0,1.0
P3/free/every/private/self_local_14,702,free,every,private,1.0,0.0,1.0
P3/free/every/private/self_local_14,703,free,every,private,1.0,0.0,1.0
P3/free/every/private/self_local_14,704,free,every,private,1.0,0.0,1.0
