arm,seed,C,open,close,decay,lockin
full,900,1.0,1.0,1.0,0.0,1.0
full,901,1.0,1.0,1.0,0.0,1.0
full,902,1.0,1.0,,,1.0
full,903,1.0,1.0,1.0,0.0,1.0
full,904,1.0,1.0,1.0,0.0,1.0
full,905,1.0,1.0,1.0,0.0,1.0
full,906,1.0,1.0,1.0,0.0,1.0
full,907,1.0,1.0,1.0,0.0,1.0
full,908,1.0,1.0,1.0,0.0,1.0
full,909,1.0,1.0,1.0,0.0,1.0
full,910,1.0,1.0,1.0,0.0,1.0
full,911,1.0,1.0,1.0,0.0,1.0
full,912,1.0,1.0,1.0,0.0,1.0
full,913,1.0,1.0,1.0,0.0,1.0
full,914,1.0,1.0,1.0,0.0,1.0
full,915,1.0,1.0,1.0,0.0,1.0
full,916,1.0,1.0,1.0,0.0,1.0
full,917,0.9285714285714286,1.0,0.8571428571428571,-0.1428571428571429,1.0
full,918,1.0,1.0,1.0,0.0,1.0
full,919,1.0,1.0,1.0,0.0,1.0
full,920,1.0,1.0,1.0,0.0,1.0
full,921,1.0,1.0,,,1.0
full,922,0.9444444444444444,1.0,0.875,-0.125,1.0
full,923,1.0,1.0,1.0,0.0,1.0
full,924,0.275,1.0,0.1,-0.9,0.0
full,925,1.0,1.0,,,1.0
full,926,1.0,1.0,1.0,0.0,1.0
full,927,1.0,1.0,1.0,0.0,1.0
full,928,1.0,1.0,1.0,0.0,1.0
full,929,1.0,1.0,1.0,0.0,1.0
none,900,0.35,0.8333333333333334,0.2,-0.6333333333333333,0.0
none,901,0.4,0.8333333333333334,0.3,-0.5333333333333334,0.0
none,902,1.0,1.0,,,1.0
none,903,0.7,0.8333333333333334,0.6428571428571429,-0.19047619047619047,0.0
none,904,0.9166666666666666,0.8333333333333334,1.0,0.16666666666666663,1.0
none,905,0.825,1.0,0.7,-0.30000000000000004,1.0
none,906,1.0,1.0,1.0,0.0,1.0
none,907,0.55,1.0,0.35,-0.65,0.0
none,908,0.42857142857142855,0.8333333333333334,0.21428571428571427,-0.6190476190476191,0.0
none,909,1.0,1.0,1.0,0.0,1.0
none,910,0.25,0.8333333333333334,0.15,-0.6833333333333333,0.0
none,911,1.0,1.0,1.0,0.0,1.0
none,912,0.65,1.0,0.5,-0.5,0.0
none,913,1.0,1.0,1.0,0.0,1.0
none,914,0.325,0.3333333333333333,0.15,-0.18333333333333332,0.0
none,915,0.15,0.16666666666666666,0.1,-0.06666666666666665,0.0
none,916,1.0,1.0,1.0,0.0,1.0
none,917,0.75,1.0,0.5,-0.5,0.0
none,918,1.0,1.0,1.0,0.0,1.0
none,919,0.8571428571428571,1.0,0.6666666666666666,-0.33333333333333337,1.0
none,920,0.625,1.0,0.35,-0.65,0.0
none,921,1.0,1.0,,,1.0
none,922,0.9444444444444444,1.0,0.875,-0.125,1.0
none,923,0.525,1.0,0.25,-0.75,0.0
none,924,0.5,1.0,0.3,-0.7,0.0
none,925,1.0,1.0,,,1.0
none,926,1.0,1.0,1.0,0.0,1.0
none,927,0.7857142857142857,1.0,0.6666666666666666,-0.33333333333333337,0.0
none,928,0.3055555555555556,0.8333333333333334,0.16666666666666666,-0.6666666666666667,0.0
none,929,0.6875,1.0,0.5,-0.5,0.0
suppress_early,900,0.725,1.0,0.6,-0.4,0.0
suppress_early,901,1.0,1.0,1.0,0.0,1.0
suppress_early,902,1.0,1.0,,,1.0
suppress_early,903,1.0,1.0,1.0,0.0,1.0
suppress_early,904,0.9166666666666666,0.8333333333333334,1.0,0.16666666666666663,1.0
suppress_early,905,1.0,1.0,1.0,0.0,1.0
suppress_early,906,0.25,0.25,0.5,0.25,0.0
suppress_early,907,1.0,1.0,1.0,0.0,1.0
suppress_early,908,1.0,1.0,1.0,0.0,1.0
suppress_early,909,1.0,1.0,1.0,0.0,1.0
suppress_early,910,0.975,1.0,1.0,0.0,1.0
suppress_early,911,1.0,1.0,1.0,0.0,1.0
suppress_early,912,1.0,1.0,1.0,0.0,1.0
suppress_early,913,1.0,1.0,1.0,0.0,1.0
suppress_early,914,1.0,1.0,1.0,0.0,1.0
suppress_early,915,1.0,1.0,1.0,0.0,1.0
suppress_early,916,1.0,1.0,1.0,0.0,1.0
suppress_early,917,1.0,1.0,1.0,0.0,1.0
suppress_early,918,0.975,0.8333333333333334,1.0,0.16666666666666663,1.0
suppress_early,919,1.0,1.0,1.0,0.0,1.0
suppress_early,920,0.25,1.0,0.05,-0.95,0.0
suppress_early,921,1.0,1.0,,,1.0
suppress_early,922,1.0,1.0,1.0,0.0,1.0
suppress_early,923,1.0,1.0,1.0,0.0,1.0
suppress_early,924,1.0,1.0,1.0,0.0,1.0
suppress_early,925,1.0,1.0,,,1.0
suppress_early,926,1.0,1.0,1.0,0.0,1.0
suppress_early,927,1.0,1.0,1.0,0.0,1.0
suppress_early,928,1.0,1.0,1.0,0.0,1.0
suppress_early,929,1.0,1.0,1.0,0.0,1.0
suppress_late,900,1.0,1.0,1.0,0.0,1.0
suppress_late,901,1.0,1.0,1.0,0.0,1.0
suppress_late,902,1.0,1.0,,,1.0
suppress_late,903,0.9333333333333333,1.0,0.8571428571428571,-0.1428571428571429,1.0
suppress_late,904,1.0,1.0,1.0,0.0,1.0
suppress_late,905,0.525,1.0,0.35,-0.65,0.0
suppress_late,906,1.0,1.0,1.0,0.0,1.0
suppress_late,907,1.0,1.0,1.0,0.0,1.0
suppress_late,908,1.0,1.0,1.0,0.0,1.0
suppress_late,909,1.0,1.0,1.0,0.0,1.0
suppress_late,910,1.0,1.0,1.0,0.0,1.0
suppress_late,911,0.725,1.0,0.5,-0.5,0.0
suppress_late,912,1.0,1.0,1.0,0.0,1.0
suppress_late,913,1.0,1.0,1.0,0.0,1.0
suppress_late,914,1.0,1.0,1.0,0.0,1.0
suppress_late,915,1.0,1.0,1.0,0.0,1.0
suppress_late,916,1.0,1.0,1.0,0.0,1.0
suppress_late,917,1.0,1.0,1.0,0.0,1.0
suppress_late,918,1.0,1.0,1.0,0.0,1.0
suppress_late,919,1.0,1.0,1.0,0.0,1.0
suppress_late,920,0.325,1.0,0.15,-0.85,0.0
suppress_late,921,1.0,1.0,,,1.0
suppress_late,922,1.0,1.0,1.0,0.0,1.0
suppress_late,923,0.85,1.0,0.7,-0.30000000000000004,1.0
suppress_late,924,0.275,1.0,0.0,-1.0,0.0
suppress_late,925,1.0,1.0,,,1.0
suppress_late,926,1.0,1.0,1.0,0.0,1.0
suppress_late,927,0.8571428571428571,1.0,0.6666666666666666,-0.33333333333333337,1.0
suppress_late,928,1.0,1.0,1.0,0.0,1.0
suppress_late,929,1.0,1.0,1.0,0.0,1.0
