experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
P4,P4/full/self_local_14,L2_observed,ipd,canonical,900,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,40,17.425,0.16106110847939364,0.6939655172413793,0.6273381294964029
P4,P4/full/self_local_14,L2_observed,ipd,canonical,901,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,40,19.25,0.184180533394119,0.6983094928478544,0.6158854166666667
P4,P4/full/self_local_14,L2_observed,ipd,canonical,902,1,1.0,1,1,1.0,,0,,,,0.0,0.0,2,15.5,0.6910112359550562,0.23333333333333328,0.1724137931034483
P4,P4/full/self_local_14,L2_observed,ipd,canonical,903,15,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,30,15.766666666666667,0.1636568848758465,0.7351694915254237,0.6709129511677283
P4,P4/full/self_local_14,L2_observed,ipd,canonical,904,6,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,12,17.333333333333332,0.40437601296596437,0.27053140096618356,0.1456310679611651
P4,P4/full/self_local_14,L2_observed,ipd,canonical,905,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,40,22.025,0.1948628814213982,0.6386363636363637,0.5483503981797497
P4,P4/full/self_local_14,L2_observed,ipd,canonical,906,2,1.0,1,1,1.0,,0,,,,0.0,0.0,4,13.25,0.5080385852090032,0.32692307692307687,0.2549019607843137
P4,P4/full/self_local_14,L2_observed,ipd,canonical,907,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,40,18.75,0.12976190476190477,0.7930574098798397,0.7446524064171123
P4,P4/full/self_local_14,L2_observed,ipd,canonical,908,14,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,28,18.0,0.2355175688509022,0.5447316103379722,0.4621513944223108
P4,P4/full/self_local_14,L2_observed,ipd,canonical,909,8,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,16,15.625,0.26479750778816197,0.5140562248995983,0.44354838709677424
P4,P4/full/self_local_14,L2_observed,ipd,canonical,910,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,40,13.575,0.12492753623188406,0.7822878228782288,0.7208872458410351
