experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
A5,A5/llama-8b/vs_tit_for_tat,L0_none,ipd,canonical,0,8,0.0,0,1,0.0,,0,0,0.0,,0.1875,0.0,0,,,,
A5,A5/llama-8b/vs_tit_for_tat,L0_none,ipd,canonical,1,8,0.2,0,1,0.3,,0,4,0.0,,0.0625,0.0,0,,,,
A5,A5/llama-8b/vs_tit_for_tat,L0_none,ipd,canonical,2,8,0.0,0,1,0.0,,0,0,0.0,,0.125,0.0,0,,,,
A5,A5/llama-8b/vs_grim,L0_none,ipd,canonical,0,8,0.0,0,1,0.0,,0,2,0.0,,0.1875,0.0,0,,,,
A5,A5/llama-8b/vs_grim,L0_none,ipd,canonical,1,8,0.0,0,1,0.0,,0,1,0.0,,0.1875,0.0,0,,,,
A5,A5/llama-8b/vs_grim,L0_none,ipd,canonical,2,8,0.0,0,1,0.0,,0,1,0.0,,0.25,0.0,0,,,,
A5,A5/llama-8b/vs_pavlov,L0_none,ipd,canonical,0,8,0.0,0,1,0.0,,0,1,0.0,,0.25,0.0,0,,,,
A5,A5/llama-8b/vs_pavlov,L0_none,ipd,canonical,1,8,0.0,0,1,0.15,,0,0,0.234375,,0.0,0.0,0,,,,
A5,A5/llama-8b/vs_pavlov,L0_none,ipd,canonical,2,8,0.0,0,1,0.0,,0,2,0.0,,0.1875,0.0,0,,,,
A5,A5/llama-8b/vs_random,L0_none,ipd,canonical,0,8,0.4,0,1,0.5,,0,0,0.1875,,0.0625,0.0,0,,,,
A5,A5/llama-8b/vs_random,L0_none,ipd,canonical,1,8,0.0,0,1,0.3,,0,2,0.0,,0.1875,0.0,0,,,,
A5,A5/llama-8b/vs_random,L0_none,ipd,canonical,2,8,0.0,0,1,0.15,,0,0,0.0,,0.25,0.0,0,,,,
A5,A5/llama-8b/vs_always_defect,L0_none,ipd,canonical,0,8,0.0,0,1,0.0,,0,1,0.0,,0.0625,0.0,0,,,,
A5,A5/llama-8b/vs_always_defect,L0_none,ipd,canonical,1,8,0.2,0,1,0.15,,0,1,0.12244897959183676,,0.125,0.0,0,,,,
A5,A5/llama-8b/vs_always_defect,L0_none,ipd,canonical,2,8,0.0,0,1,0.0,,0,1,0.0,,0.0625,0.0,0,,,,
A5,A5/llama-8b/vs_always_cooperate,L0_none,ipd,canonical,0,8,0.2,0,1,0.8,,0,0,0.109375,,0.125,0.0,0,,,,
A5,A5/llama-8b/vs_always_cooperate,L0_none,ipd,canonical,1,8,0.6,0,1,0.9,,0,,,,0.125,0.0,0,,,,
A5,A5/llama-8b/vs_always_cooperate,L0_none,ipd,canonical,2,8,0.0,0,1,0.75,,0,0,0.0,,0.125,0.0,0,,,,
