experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,0,12,0.1,0,1,0.15,,0,4,0.02734375,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,1,12,0.1,0,1,0.15,,0,5,0.061224489795918366,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,2,12,0.5,0,1,0.65,,0,,,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,3,11,0.3,0,1,0.35,,0,5,0.14583333333333334,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,4,12,0.3,0,1,0.45,,0,,,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,5,12,0.0,0,1,0.0,,0,3,0.0617283950617284,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,6,12,0.9,1,1,0.95,,0,3,0.02469135802469136,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,7,12,0.2,0,1,0.2,,0,3,0.1111111111111111,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,8,7,0.2,0,1,0.3,,0,,,,0.0,0.0,0,,,,
D1,D1/L0_none/same_origin_cn,L0_none,ipd,canonical,9,12,0.7,0,1,0.75,,0,0,0.08854166666666667,,0.0,0.0,0,,,,
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,0,12,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,24,22.75,0.12065972222222222,0.7798165137614679,0.7279411764705883
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,1,12,0.7,0,1,0.85,,0,0,0.046875,0.6666666666666666,0.0,0.0,24,23.541666666666668,0.2234749927724776,0.5638297872340425,0.46891651865008876
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,2,12,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,24,23.25,0.1376326074818537,0.7468581687612208,0.685251798561151
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,3,11,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,22,20.40909090909091,0.17233410366457577,0.6696428571428572,0.5816554809843401
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,4,12,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,24,25.083333333333332,0.17374110203005536,0.6572379367720467,0.5666666666666667
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,5,12,0.6,0,1,0.7,,0,0,0.09722222222222222,1.0,0.0,0.0,24,23.25,0.23217391304347826,0.5529622980251346,0.4388489208633094
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,6,12,1.0,1,1,1.0,,0,0,0.08854166666666667,0.8571428571428571,0.0,0.0,24,17.583333333333332,0.12420830401125968,0.7862232779097387,0.7285714285714286
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,7,12,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,24,22.083333333333332,0.14602272727272728,0.722117202268431,0.6818181818181819
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,8,7,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,14,22.428571428571427,0.19713438735177866,0.6261980830670926,0.5352564102564102
D1,D1/L2_observed/same_origin_cn,L2_observed,ipd,canonical,9,12,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,24,17.833333333333332,0.1183206106870229,0.7985948477751756,0.7370892018779343
D1,D1/L3_private/same_origin_cn,L3_private,ipd,canonical,0,12,0.2,0,1,0.3,,0,3,0.19135802469135804,0.5263157894736842,0.0,0.0,24,29.166666666666668,0.192880978865406,0.6151645207439198,0.4871060171919771
D1,D1/L3_private/same_origin_cn,L3_private,ipd,canonical,1,12,0.7,0,1,0.85,,0,0,0.046875,1.0,0.0,0.0,23,27.26086956521739,0.16730719959005894,0.6964856230031948,0.632
