experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,0,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,1,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,2,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,3,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,4,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,5,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,6,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,7,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,8,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L0_none/cross_origin,L0_none,research_race,canonical,9,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,0,,,,
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,0,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,22.875,0.2671081677704194,0.5255474452554745,0.44424131627056673
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,1,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,19.458333333333332,0.26102807145461177,0.5278969957081545,0.45376344086021503
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,2,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,21.833333333333332,0.26970402394413034,0.51434034416826,0.4501915708812261
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,3,12,0.0,0,1,0.0,,0,0,0.0,0.0,0.0,0.0,24,24.375,0.3337919647771051,0.2928082191780822,0.16466552315608918
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,4,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,23.333333333333332,0.23277359583092067,0.5670840787119857,0.49103942652329746
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,5,12,0.0,0,1,0.0,,0,0,0.0,0.0,0.0,0.0,24,23.458333333333332,0.33462918660287083,0.3487544483985765,0.22638146167557938
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,6,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,22.5,0.2033898305084746,0.575139146567718,0.4758364312267658
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,7,12,0.0,0,1,0.0,,0,0,0.0,0.0,0.0,0.0,24,21.041666666666668,0.3166718410431543,0.3412698412698413,0.22067594433399607
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,8,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,22.916666666666668,0.1931613677264547,0.6357012750455373,0.5620437956204379
E1,E1/threat/L2_observed/cross_origin,L2_observed,research_race,canonical,9,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,20.125,0.23843648208469057,0.5352697095435685,0.4511434511434511
E1,E1/threat/L3_private/cross_origin,L3_private,research_race,canonical,0,12,0.0,0,1,0.0,,0,0,0.0,0.0,0.0,0.0,24,24.0,0.2812667740203972,0.43130434782608695,0.3292682926829268
E1,E1/threat/L3_private/cross_origin,L3_private,research_race,canonical,1,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,24.041666666666668,0.3426023084994753,0.24479166666666663,0.14086956521739136
E1,E1/threat/L3_private/cross_origin,L3_private,research_race,canonical,2,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,24.375,0.2317948717948718,0.553082191780822,0.4957118353344768
E1,E1/threat/L3_private/cross_origin,L3_private,research_race,canonical,3,12,0.0,0,1,0.0,,0,0,0.0,,0.0,0.0,24,24.0,0.3243772739994402,0.3060869565217391,0.17421602787456447
E1,E1/threat/L3_private/cross_origin,L3_private,research_race,canonical,4,12,0.0,0,1,0.0,,0,0,0.0,0.0,0.0,0.0,24,23.25,0.28736998514115897,0.4614003590664273,0.3507194244604317
E1,E1/threat/L3_private/cross_origin,L3_private,research_race,canonical,5,12,0.0,0,1,0.0,,0,0,0.0,0.0,0.041666666666666664,0.0,24,23.166666666666668,0.3745080230093854,0.23783783783783785,0.13718411552346566
