experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,300,20,0.0,0,1,0.0,,0,0,0.031875,0.2222222222222222,0.0,0.0,40,2.225,0.2296416938110749,0.6704545454545454,0.5517241379310345
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,301,8,0.0,0,1,0.0,,0,0,0.0,0.0,0.0,0.0,15,2.066666666666667,0.4789915966386555,0.30000000000000004,0.10344827586206895
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,302,17,0.0,0,1,0.0,,0,5,0.0,0.2,0.0,0.0,34,1.6470588235294117,0.20647773279352227,0.5636363636363637,0.40740740740740744
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,303,4,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,7,2.4285714285714284,0.4,0.4375,0.33333333333333337
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,304,20,0.7,0,1,0.75,,0,0,0.0775,0.8666666666666667,0.0,0.0,39,2.2051282051282053,0.21112696148359486,0.5882352941176471,0.3214285714285714
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,305,15,0.3,0,1,0.45,,0,0,0.1488888888888889,0.6956521739130435,0.0,0.0,28,2.0714285714285716,0.21861471861471862,0.6666666666666667,0.5714285714285714
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,306,19,0.9,1,1,0.95,,0,3,0.02734375,1.0,0.0,0.0,37,2.135135135135135,0.2533136966126657,0.5897435897435898,0.49350649350649356
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,307,20,0.1,0,1,0.15,,0,0,0.1525,0.24,0.0,0.0,38,2.0526315789473686,0.18798151001540833,0.6753246753246753,0.513157894736842
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,308,20,0.0,0,1,0.0,,0,1,0.0,0.16666666666666666,0.0,0.0,40,1.55,0.24408014571949,0.5245901639344263,0.44999999999999996
F2B,F2B/budget_tight/L2_observed/same_origin_cn,L2_observed,ipd,canonical,309,11,0.9,1,1,0.95,,0,0,0.03719008264462809,1.0,0.0,0.0,22,2.272727272727273,0.38596491228070173,0.326530612244898,0.14583333333333337
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,300,20,0.8,0,1,0.9,,0,0,0.0225,0.9444444444444444,0.0,0.0,40,28.0,0.12792022792022792,0.7551385165326184,0.6887298747763864
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,301,8,0.6,0,1,0.6,,0,1,0.24489795918367346,0.5,0.0,0.0,16,23.9375,0.3353846153846154,0.33246073298429324,0.19947506561679795
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,302,17,0.7,0,1,0.75,,0,0,0.06574394463667821,0.9615384615384616,0.0,0.0,34,24.91176470588235,0.16813981518682203,0.6749408983451537,0.6059171597633136
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,303,4,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,8,17.5,0.3823191733639495,0.3381294964028777,0.26086956521739135
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,304,20,0.8,0,1,0.9,,0,0,0.031875,0.9166666666666666,0.0,0.0,40,26.425,0.1699248120300752,0.6515151515151515,0.5412322274881516
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,305,15,0.8,0,1,0.8,,0,0,0.08888888888888888,0.875,0.0,0.0,30,22.933333333333334,0.2207040296433534,0.5385735080058225,0.4110787172011662
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,306,19,0.6,0,1,0.7,,0,0,0.11357340720221606,0.8055555555555556,0.0,0.0,38,30.210526315789473,0.17771922119748207,0.6521360069747166,0.5514834205933683
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,307,20,1.0,1,1,1.0,,0,0,0.011875,1.0,0.0,0.0,40,25.275,0.11172668513388735,0.7861386138613862,0.711595639246779
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,308,20,0.0,0,1,0.0,,0,5,0.1888888888888889,0.5,0.0,0.0,39,27.743589743589745,0.20138142747505755,0.5892691951896392,0.4481481481481482
F2B,F2B/budget_normal/L2_observed/same_origin_cn,L2_observed,ipd,canonical,309,11,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,22,23.59090909090909,0.14684880471903136,0.7200772200772201,0.655705996131528
