experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,0,18,0.0,0,1,0.0,,0,11,0.0,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,1,20,0.1,0,1,0.15,,0,0,0.146875,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,2,16,0.3,0,1,0.45,,0,0,0.1318359375,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,3,11,0.1,0,1,0.15,,0,2,0.043209876543209874,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,4,20,0.2,0,1,0.3,,0,0,0.161875,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,5,20,0.0,0,1,0.0,,0,2,0.059413580246913594,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,6,20,0.7,0,1,0.75,,0,0,0.1025,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,7,20,0.0,0,1,0.0,,0,0,0.18187499999999995,,0.025,0.025,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,8,7,0.4,0,1,0.5,,0,,,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L0_none/cross_origin,L0_none,ipd,canonical,9,20,0.0,0,1,0.0,,0,6,0.016581632653061226,,0.0,0.0,0,,,,
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,0,18,1.0,1,1,1.0,,0,0,0.034722222222222224,0.8571428571428571,0.0,0.0,35,14.857142857142858,0.2086662569145667,0.581888246628131,0.48841698841698844
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,1,20,0.4,0,1,0.6,,0,0,0.0775,0.6666666666666666,0.0,0.0,40,14.5,0.16907948647910406,0.6649395509499136,0.6038062283737025
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,2,16,1.0,1,1,1.0,,0,0,0.02734375,1.0,0.0,0.0,32,15.46875,0.15803631472763954,0.7125506072874495,0.6369168356997972
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,3,11,0.8,0,1,0.9,,0,0,0.03719008264462809,0.8333333333333334,0.0,0.0,22,13.0,0.23978685612788633,0.5964912280701755,0.5246478873239437
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,4,20,0.9,1,1,0.95,,0,0,0.0225,0.9310344827586207,0.0,0.0,40,15.375,0.16374269005847952,0.7052117263843648,0.6280587275693312
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,5,20,1.0,1,1,1.0,,0,0,0.0225,1.0,0.0,0.0,40,12.75,0.23620847302651632,0.5088408644400786,0.4133858267716536
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,6,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,40,16.0,0.15568714532445102,0.7089201877934272,0.6253918495297806
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,7,20,0.5,0,1,0.75,,0,8,0.060763888888888895,0.41379310344827586,0.0,0.0,39,18.41025641025641,0.2320455671124319,0.5536959553695955,0.4399441340782123
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,8,7,0.9,1,1,0.95,,0,0,0.030612244897959186,1.0,0.0,0.0,14,14.214285714285714,0.35714285714285715,0.2525252525252525,0.15228426395939088
G1,G1/ipd/neutral/L2_observed/cross_origin,L2_observed,ipd,canonical,9,20,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,39,11.35897435897436,0.09892857142857144,0.8574660633484164,0.8390022675736961
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,0,18,,,0,0.0,-0.9000000000000008,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,1,20,,,0,0.0,-0.3000000000000003,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,2,16,,,0,0.05929644403405332,-0.10000000000000012,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,3,11,,,0,0.0,-0.20000000000000023,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,4,20,,,0,0.0,-0.6000000000000006,1,,,,0.025,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,5,20,,,0,0.0,-0.9500000000000006,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,6,20,,,0,0.0,-0.2500000000000003,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,7,20,,,0,0.0,-0.6500000000000007,1,,,,0.0,0.0,0,,,,
G1,G1/bertrand/neutral/L0_none/cross_origin,L0_none,bertrand,canonical,8,7,,,0,0.0,-0.9500000000000006,1,,,,0.0,0.0,0,,,,
